                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1406,                 1.1025,                 1.3245,                0.68984,                0.61776,                0.64988,                0.38642,                 1.4986,                 1.2824,                 1.7356,                0.00307,                0.00307,                0.00307
                     72,                 1.1395,                  1.095,                 1.3163,                0.77533,                0.55985,                0.64978,                0.38481,                 1.5634,                 1.2463,                 1.7732,               0.002971,               0.002971,               0.002971
                     73,                 1.1475,                 1.1205,                  1.332,                0.68958,                0.62934,                0.66659,                0.38502,                 1.5465,                 1.2713,                 1.7753,               0.002872,               0.002872,               0.002872
                     74,                 1.1382,                 1.0756,                 1.3165,                0.63142,                0.63498,                0.66145,                0.39629,                 1.5379,                 1.2381,                 1.7792,               0.002773,               0.002773,               0.002773
                     75,                 1.1378,                 1.0815,                 1.3155,                0.69529,                0.59459,                0.64323,                0.38372,                 1.5451,                 1.2362,                 1.7941,               0.002674,               0.002674,               0.002674
                     76,                 1.1091,                 1.0572,                 1.2949,                0.70299,                0.58687,                 0.6393,                0.37956,                 1.4849,                 1.2648,                 1.7488,               0.002575,               0.002575,               0.002575
                     77,                  1.129,                 1.0442,                 1.2992,                0.74396,                0.57217,                0.65141,                0.38719,                 1.5142,                 1.2277,                 1.7566,               0.002476,               0.002476,               0.002476
                     78,                 1.1086,                  1.036,                 1.2862,                0.77276,                0.59084,                0.64794,                0.38417,                 1.5051,                 1.2249,                 1.7507,               0.002377,               0.002377,               0.002377
                     79,                 1.0947,                 1.0338,                  1.288,                0.75536,                0.59607,                0.65286,                0.39011,                 1.5284,                 1.2045,                  1.754,               0.002278,               0.002278,               0.002278
                     80,                 1.1025,                 1.0176,                 1.2838,                0.69396,                0.62161,                0.65945,                0.39767,                 1.4993,                 1.2227,                 1.7403,               0.002179,               0.002179,               0.002179
                     81,                 1.0835,                 1.0039,                 1.2794,                0.70231,                0.62934,                0.66253,                0.39903,                  1.511,                 1.2027,                 1.7628,                0.00208,                0.00208,                0.00208
                     82,                 1.0694,                 1.0046,                 1.2709,                0.65886,                 0.6332,                0.64255,                0.38282,                 1.5018,                 1.2091,                 1.7626,               0.001981,               0.001981,               0.001981
                     83,                 1.0862,                 1.0187,                 1.2759,                0.67464,                0.64093,                0.67011,                0.40675,                 1.4926,                 1.1932,                 1.7451,               0.001882,               0.001882,               0.001882
                     84,                 1.0649,                 1.0036,                 1.2698,                0.71371,                0.61776,                0.67152,                0.40346,                 1.4751,                 1.2231,                 1.7346,               0.001783,               0.001783,               0.001783
                     85,                 1.0718,                 1.0134,                 1.2721,                0.75134,                0.58331,                0.67364,                 0.4059,                 1.4904,                 1.2309,                 1.7622,               0.001684,               0.001684,               0.001684
                     86,                 1.0644,                0.99134,                  1.274,                0.79402,                0.56558,                0.67302,                0.39617,                 1.5093,                 1.1973,                 1.7602,               0.001585,               0.001585,               0.001585
                     87,                 1.0505,                0.96875,                 1.2656,                0.73091,                0.61776,                0.66677,                0.40739,                 1.5131,                 1.1584,                 1.7669,               0.001486,               0.001486,               0.001486
                     88,                 1.0513,                0.96284,                 1.2575,                0.77664,                0.61755,                0.67672,                0.40174,                 1.5121,                 1.1563,                 1.7847,               0.001387,               0.001387,               0.001387
                     89,                 1.0666,                0.96899,                 1.2703,                0.71039,                0.65251,                0.67963,                0.39739,                 1.5008,                 1.1787,                 1.7683,               0.001288,               0.001288,               0.001288
                     90,                0.98022,                  0.888,                 1.3115,                0.71176,                0.61971,                  0.653,                0.37763,                 1.5159,                 1.2754,                 1.7889,               0.001189,               0.001189,               0.001189
                     91,                0.93794,                0.83889,                 1.2704,                0.73758,                0.59688,                0.66902,                0.39592,                 1.5087,                 1.2056,                 1.7969,                0.00109,                0.00109,                0.00109
                     92,                0.91212,                0.79786,                 1.2512,                0.72945,                0.60379,                0.66694,                0.38923,                 1.5223,                 1.2133,                 1.7896,               0.000991,               0.000991,               0.000991
                     93,                0.89247,                0.76718,                 1.2503,                 0.7267,                0.59846,                0.65899,                0.39607,                 1.5106,                 1.2062,                 1.7868,               0.000892,               0.000892,               0.000892
                     94,                 0.9038,                0.77047,                 1.2439,                0.75883,                0.60742,                0.68456,                0.39991,                 1.5264,                 1.1915,                 1.8125,               0.000793,               0.000793,               0.000793
                     95,                0.89316,                0.75262,                 1.2331,                0.81742,                0.57529,                0.67174,                0.40718,                 1.5002,                 1.2071,                 1.8142,               0.000694,               0.000694,               0.000694
                     96,                  0.864,                0.74082,                 1.2187,                0.70819,                 0.6139,                0.66513,                0.39727,                  1.508,                 1.2086,                 1.8094,               0.000595,               0.000595,               0.000595
                     97,                0.86402,                0.71932,                 1.2231,                 0.7853,                0.58687,                0.65334,                0.39961,                 1.4857,                  1.202,                 1.7856,               0.000496,               0.000496,               0.000496
                     98,                0.83619,                0.70285,                 1.1928,                0.78649,                0.59846,                0.66925,                0.39139,                 1.5003,                 1.2051,                 1.8067,               0.000397,               0.000397,               0.000397
                     99,                0.84888,                0.69407,                 1.2048,                 0.7361,                0.62548,                0.66475,                0.39167,                 1.5002,                 1.2068,                 1.8068,               0.000298,               0.000298,               0.000298
